CRFyear	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600
CO2	0.89294	3.04823	4.88009	5.64051	5.81112	5.65686	5.33664	4.94965	4.55284	4.17492	3.82924	3.52007	3.24671	3.00624	2.79496	2.60913	2.44647	2.30707	2.19067	2.09467	2.01525	1.93885	1.86534	1.79461	1.72657	1.66111	1.59813	1.53754	1.47924	1.42316	1.3692	1.31729	1.26734	1.21929	1.17306	1.12859	1.0858	1.04463	1.00503	0.96692	0.93026	0.89499	0.86106	0.82841	0.797	0.76678	0.73771	0.70974	0.68283	0.65694	0.63204	0.60807	0.58502	0.56284	0.5415	0.52097	0.50122	0.48221	0.46393	0.44634	0.42942
CH4	2.80139	8.80016	12.09777	11.25458	9.1694	7.00115	5.15095	3.70311	2.62182	1.8366	1.27676	0.88249	0.60739	0.4166	0.28502	0.1946	0.13263	0.09038	0.06145	0.04179	0.02842	0.01933	0.01315	0.00894	0.00608	0.00414	0.00281	0.00191	0.0013	0.00089	0.0006	0.00041	0.00028	0.00019	0.00013	0.00009	0.00006	0.00004	0.00003	0.00002	0.00001	0.00001	0.00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2O	0.46766	1.66781	2.81209	3.42583	3.69475	3.74384	3.65709	3.49097	3.28299	3.05752	2.82996	2.6094	2.40072	2.20623	2.02669	1.86199	1.71149	1.57424	1.44911	1.33493	1.23055	1.13432	1.04563	0.96387	0.8885	0.81902	0.75498	0.69595	0.64153	0.59136	0.54512	0.5025	0.46321	0.42699	0.3936	0.36282	0.33445	0.3083	0.28419	0.26197	0.24149	0.2226	0.2052	0.18915	0.17436	0.16073	0.14816	0.13657	0.1259	0.11605	0.10698	0.09861	0.0909	0.08379	0.07724	0.0712	0.06563	0.0605	0.05577	0.05141	0.04739
HFC23	0.98391	3.57994	6.20845	7.84015	8.80132	9.3132	9.5259	9.54081	9.42669	9.23	8.98217	8.7041	8.41013	8.10943	7.80835	7.51094	7.21965	6.93645	6.66181	6.39648	6.14066	5.89507	5.6593	5.43296	5.21568	5.00708	4.80683	4.61458	4.43003	4.25285	4.08276	3.91948	3.76272	3.61223	3.46777	3.32908	3.19593	3.06811	2.94541	2.82761	2.71452	2.60596	2.50173	2.40168	2.30563	2.21341	2.12489	2.03991	1.95832	1.88	1.80481	1.73263	1.66334	1.59681	1.53295	1.47164	1.41278	1.35628	1.30204	1.24996	1.19997
HFC125	1.32742	4.52807	7.05728	7.70793	7.36867	6.5665	5.60347	4.64284	3.76611	3.00625	2.37038	1.85033	1.43277	1.10181	0.8426	0.64136	0.48616	0.36743	0.2765	0.20779	0.15566	0.11662	0.08736	0.06545	0.04903	0.03673	0.02752	0.02062	0.01544	0.01157	0.00867	0.00649	0.00486	0.00364	0.00273	0.00205	0.00153	0.00115	0.00086	0.00064	0.00048	0.00036	0.00027	0.0002	0.00015	0.00011	0.00009	0.00006	0.00005	0.00004	0.00003	0.00002	0.00002	0.00001	0.00001	0.00001	0	0	0	0	0
HFC134a	2.68258	8.43617	11.49136	10.48675	8.37025	6.26513	4.52527	3.19883	2.23072	1.54154	1.05943	0.7247	0.49488	0.33695	0.22926	0.15543	0.10547	0.07216	0.04885	0.03275	0.0222	0.01505	0.01021	0.00692	0.00469	0.00318	0.00216	0.00146	0.00099	0.00067	0.00046	0.00031	0.00021	0.00014	0.0001	0.00007	0.00004	0.00003	0.00002	0.00001	0.00001	0.00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HFC143a	1.02297	3.5875	5.85384	6.80456	6.9632	6.66775	6.13361	5.49453	4.83186	4.19237	3.60148	3.07038	2.60236	2.19545	1.8456	1.54691	1.29345	1.07996	0.90002	0.74919	0.62304	0.51813	0.43088	0.35833	0.29799	0.24781	0.20608	0.17138	0.14252	0.11853	0.09857	0.08197	0.06817	0.05669	0.04714	0.0392	0.0326	0.02711	0.02255	0.01875	0.01559	0.01297	0.01078	0.00897	0.00746	0.0062	0.00516	0.00429	0.00357	0.00297	0.00247	0.00205	0.00171	0.00142	0.00118	0.00098	0.00082	0.00068	0.00056	0.00047	0.00039
HFC152a	4.85343	13.00246	13.67795	9.28497	6.3049	4.28079	2.91229	1.98204	1.34629	0.91155	0.62172	0.41838	0.28515	0.19166	0.13089	0.08414	0.0561	0.04675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HFC227ea	1.24509	4.27857	6.7501	7.49517	7.29446	6.62289	5.76194	4.87037	4.03245	3.2872	2.64829	2.11328	1.67375	1.31708	1.03122	0.8038	0.62406	0.48336	0.37327	0.28772	0.22134	0.17028	0.13099	0.10077	0.07752	0.05964	0.04588	0.03529	0.02715	0.02089	0.01607	0.01236	0.00951	0.00732	0.00563	0.00433	0.00333	0.00256	0.00197	0.00152	0.00117	0.0009	0.00069	0.00053	0.00041	0.00031	0.00024	0.00019	0.00014	0.00011	0.00008	0.00007	0.00005	0.00004	0.00003	0.00002	0.00002	0.00001	0.00001	0.00001	0.00001
SF6	0.50068	1.84037	3.24578	4.19359	4.83078	5.25712	5.54039	5.72651	5.84669	5.92213	5.9673	5.99182	6.00247	6.00361	5.99836	5.9888	5.97632	5.96196	5.94619	5.92955	5.91239	5.89527	5.87821	5.86119	5.84423	5.82731	5.81045	5.79363	5.77686	5.76014	5.74346	5.72684	5.71026	5.69373	5.67725	5.66082	5.64443	5.62809	5.6118	5.59556	5.57936	5.56321	5.54711	5.53105	5.51504	5.49908	5.48316	5.46729	5.45147	5.43569	5.41995	5.40426	5.38862	5.37302	5.35747	5.34196	5.3265	5.31108	5.29571	5.28038	5.2651
