	Canada	USA	W Europe	Oceania	Japan	E Europe	CIS	Latin America	Africa	Middle East	S Asia	E Asia	SE Asia
1900 	1633 	32466 	28683 	3279 	1046 	3313 	6142 	28732 	12053 	1058 	38465 	21661 	12339 
1910 	5320 	109258 	94383 	9668 	3615 	10546 	18526 	93176 	36989 	3078 	110669 	62601 	38526 
1920 	10893 	231494 	188189 	18436 	7872 	21412 	34743 	189421 	71457 	5609 	195697 	111729 	75917 
1930 	17829 	384731 	297072 	28368 	13566 	35742 	54058 	307856 	112520 	8436 	276071 	162161 	123044 
1940 	25759 	546618 	417149 	38503 	20763 	53868 	79724 	441066 	159090 	12001 	345633 	213758 	179481 
1950 	34800 	709818 	541702 	48823 	29486 	76324 	118442 	583633 	213813 	17067 	408969 	263160 	240080 
1960 	46165 	891440 	667173 	60650 	39444 	109376 	180712 	739149 	283685 	25098 	469541 	319633 	304677 
1970 	61581 	1107168 	808999 	76440 	55431 	158773 	284121 	924241 	368952 	39457 	534155 	406671 	380386 
1980 	83786 	1371991 	986411 	98687 	86922 	224758 	447430 	1147764 	473433 	67611 	609901 	527187 	470879 
1990 	112102 	1669499 	1188125 	126354 	133629 	305822 	684046 	1401799 	599298 	113346 	699749 	686014 	574926 
2000 	145602 	1984906 	1392044 	158305 	192939 	385531 	958940 	1667857 	752597 	181621 	806084 	902341 	693792 
2010 	178574 	2290840 	1576468 	190043 	258830 	446918 	1184002 	1935920 	949709 	270145 	915485 	1162399 	806222 
2020 	196088 	2449654 	1664574 	206389 	304131 	471739 	1282848 	2085290 	1086210 	335297 	960368 	1330105 	860496 
2030 	196376 	2432701 	1644729 	204760 	319674 	462762 	1267341 	2083054 	1117869 	358573 	926889 	1357846 	849046 
2040 	186444 	2305413 	1557757 	192375 	313990 	434379 	1188407 	1982321 	1075955 	351637 	848873 	1292307 	798177 
2050 	172596 	2136143 	1445010 	176267 	298008 	399312 	1087847 	1842821 	1003410 	331166 	760152 	1190992 	733700 
2060 	157865 	1958067 	1326977 	159650 	277648 	363596 	985046 	1693730 	921030 	305462 	674671 	1080670 	667603 
2070 	143739 	1787684 	1214012 	144014 	256260 	330083 	888923 	1549772 	839442 	278914 	597958 	974309 	605517 
2080 	130883 	1632490 	1110887 	129973 	235651 	299952 	803022 	1417849 	763808 	253752 	531619 	877718 	549785 
2090 	119507 	1494910 	1019192 	117673 	216669 	273481 	728064 	1300395 	696120 	230939 	475347 	792739 	500973 
2100 	109588 	1374711 	938829 	107032 	199620 	250496 	663426 	1197435 	636676 	210739 	428021 	719199 	458758 
2110 	101001 	1270428 	868893 	97871 	184517 	230643 	607963 	1107855 	584973 	193078 	388306 	656044 	422448 
2120 	93583 	1180155 	808166 	89990 	171229 	213520 	560425 	1030114 	540173 	177721 	354903 	601917 	391248 
2130 	87175 	1101985 	755412 	83196 	159577 	198757 	519662 	962612 	501370 	164389 	326672 	555469 	364397 
2140 	81637 	1034216 	709523 	77324 	149389 	186032 	484707 	903887 	467720 	152819 	302679 	515518 	341227 
2150 	76851 	975401 	669566 	72239 	140522 	175078 	454769 	852670 	438487 	142787 	282185 	481104 	321181 
2160 	72717 	924264 	634757 	67833 	132860 	165646 	429194 	807891 	413072 	134126 	264631 	451513 	303803 
2170 	69148 	879674 	604354 	64018 	126283 	157487 	407354 	768614 	391015 	126709 	249605 	426211 	288708 
2180 	66047 	840499 	577545 	60711 	120614 	150361 	388579 	733938 	371895 	120398 	236748 	404705 	275521 
2190 	63306 	805551 	553483 	57813 	115637 	144007 	372095 	702894 	355205 	114995 	225665 	386330 	263835 
2200 	60822 	773657 	531386 	55222 	111129 	138190 	357155 	674547 	340357 	110252 	215926 	370235 	253226 
2210 	58492 	743668 	510548 	52823 	106889 	132720 	343164 	647915 	326600 	105882 	207010 	355444 	243290 
2220 	56262 	714938 	490593 	50547 	102817 	127487 	329783 	622411 	313458 	101704 	198537 	341324 	233779 
2230 	54127 	687396 	471472 	48384 	98905 	122477 	316973 	597972 	300892 	97705 	190468 	327827 	224667 
2240 	52081 	660979 	453143 	46327 	95148 	117677 	304697 	574543 	288869 	93876 	182770 	314911 	215930 
2250 	50119 	635633 	435568 	44368 	91539 	113077 	292928 	552074 	277360 	90208 	175419 	302542 	207550 
2260 	48237 	611308 	418710 	42501 	88071 	108667 	281639 	530521 	266338 	86693 	168393 	290692 	199508 
2270 	46432 	587956 	402537 	40722 	84739 	104437 	270807 	509841 	255779 	83323 	161671 	279332 	191790 
2280 	44700 	565534 	387017 	39024 	81537 	100379 	260410 	489994 	245661 	80091 	155238 	268439 	184379 
2290 	43038 	544004 	372124 	37405 	78459 	96486 	250429 	470946 	235963 	76992 	149079 	257991 	177263 
2300 	41442 	523326 	357828 	35859 	75502 	92749 	240846 	452661 	226665 	74018 	143180 	247968 	170429 
