	Canada	USA	W Europe	Oceania	Japan	E Europe	CIS	Latin America	Africa	Middle East	S Asia	E Asia	SE Asia
1900	65.453	1394.776	1153.196	91.626	54.714	126.669	169.122	1493.144	465.339	29.817	845.810	486.980	498.080 
1910	93.481	2069.680	1541.380	128.697	81.628	180.180	192.285	1820.228	550.487	33.600	897.269	529.908	599.044 
1920	110.404	2503.019	1727.050	147.060	97.238	218.989	247.674	2143.866	662.958	38.354	995.439	573.553	731.025 
1930	135.387	2646.832	2100.496	152.346	118.487	306.251	389.035	2396.857	786.958	54.632	956.556	702.790	930.466 
1940	144.874	2544.450	2234.159	171.452	180.105	337.012	760.994	2600.233	908.487	88.174	1127.970	712.244	1006.757 
1950	231.401	3764.099	2219.610	235.270	158.355	633.595	1118.395	2795.512	1420.201	143.804	1122.351	815.716	1123.667 
1960	292.558	4449.692	2966.322	322.838	308.035	1127.153	2159.991	3718.696	1581.743	273.285	1396.032	1812.178	1460.178 
1970	479.507	5841.067	4418.066	501.935	878.640	1174.182	2911.381	4581.337	2119.957	536.557	1900.740	2188.366	1862.835 
1980	603.188	6420.747	4860.698	586.463	1077.595	1608.425	4501.425	5431.116	2603.483	919.024	2175.008	3353.373	2131.487 
1990	607.027	6550.023	4555.094	684.255	1231.215	1428.007	5749.107	5049.067	2937.421	1325.460	2411.356	4645.167	2491.418 
2000	755.472	7676.966	4730.386	787.091	1347.730	1165.917	3707.349	6820.398	5569.712	1893.580	3344.446	6129.445	2372.965 
2010	572.895	7729.298	4236.493	830.711	1192.159	1294.200	4067.289	7188.357	6015.350	2462.633	5101.664	8629.794	3197.960 
