	Canada	USA	W Europe	Oceania	Japan	E Europe	CIS	Latin America	Africa	Middle East	S Asia	E Asia	SE Asia
1900	5.301 	79.171 	230.081 	5.658 	44.359 	70.457 	133.566 	64.354 	117.265 	31.767 	342.719 	418.034 	87.907 
1910	6.988 	96.144 	246.058 	6.759 	49.852 	77.315 	161.505 	77.846 	127.874 	34.881 	336.915 	442.020 	96.921 
1920	8.556 	110.766 	255.556 	8.152 	55.963 	81.108 	171.972 	90.590 	140.423 	38.332 	328.950 	494.885 	108.068 
1930	10.208 	128.170 	274.329 	9.786 	64.450 	93.535 	159.401 	109.425 	159.395 	42.920 	365.090 	515.535 	125.183 
1940	11.381 	137.465 	289.178 	10.869 	71.933 	88.015 	192.660 	131.730 	181.043 	50.217 	420.282 	553.442 	147.376 
1950	13.737 	157.818 	304.841 	12.807 	83.625 	87.672 	180.980 	167.663 	224.203 	60.281 	477.036 	586.281 	178.149 
1960	17.909 	186.163 	325.793 	15.883 	94.096 	99.445 	214.323 	220.214 	282.239 	78.893 	576.200 	697.648 	223.127 
1970	21.717 	210.116 	351.636 	19.636 	104.331 	107.872 	242.783 	287.594 	364.135 	104.353 	715.450 	882.296 	286.762 
1980	24.516 	230.923 	366.739 	22.853 	116.807 	116.715 	265.408 	364.435 	479.786 	141.709 	901.279 	1061.194 	359.107 
1990	27.701 	256.104 	376.484 	26.733 	123.537 	122.167 	289.355 	444.337 	637.420 	194.215 	1135.885 	1220.373 	440.574 
2000	30.689 	284.863 	390.269 	31.105 	127.034 	120.563 	288.970 	523.111 	820.960 	242.569 	1394.731 	1349.261 	519.997 
2010	33.752 	314.698 	406.595 	35.491 	127.758 	118.317 	283.644 	593.760 	1032.012 	290.456 	1641.041 	1434.816 	594.216 
2020	36.588 	342.553 	413.599 	39.482 	124.489 	115.282 	278.946 	659.627 	1270.527 	341.422 	1879.099 	1506.879 	658.592 
2030	39.105 	366.193 	416.635 	43.235 	118.252 	110.376 	270.593 	712.906 	1518.310 	386.467 	2080.484 	1544.545 	710.602 
2040	41.069 	385.874 	416.311 	46.292 	110.651 	104.037 	260.660 	749.735 	1765.373 	425.601 	2238.431 	1532.259 	747.252 
2050	42.754 	402.421 	413.021 	48.743 	102.511 	97.066 	248.962 	769.291 	1997.940 	457.211 	2356.033 	1488.731 	766.611 
2060	42.130 	408.024 	403.529 	48.633 	98.805 	93.331 	240.246 	761.800 	2090.508 	466.518 	2357.194 	1443.357 	760.104 
2070	41.507 	413.628 	394.037 	48.524 	95.098 	89.596 	231.530 	754.308 	2183.077 	475.825 	2358.355 	1397.983 	753.597 
2080	40.883 	419.231 	384.544 	48.414 	91.392 	85.861 	222.814 	746.817 	2275.645 	485.133 	2359.517 	1352.608 	747.090 
2090	40.259 	424.834 	375.052 	48.304 	87.685 	82.125 	214.098 	739.326 	2368.214 	494.440 	2360.678 	1307.234 	740.583 
2100	39.635 	430.438 	365.560 	48.195 	83.979 	78.390 	205.382 	731.834 	2460.782 	503.747 	2361.839 	1261.860 	734.076 
2110	39.834 	433.509 	367.132 	47.948 	84.199 	78.398 	205.173 	720.453 	2422.963 	496.531 	2311.368 	1255.197 	724.943 
2120	40.033 	436.581 	368.704 	47.701 	84.420 	78.405 	204.964 	709.072 	2385.144 	489.316 	2260.897 	1248.533 	715.810 
2130	40.232 	439.653 	370.277 	47.454 	84.641 	78.412 	204.755 	697.691 	2347.326 	482.100 	2210.426 	1241.870 	706.677 
2140	40.431 	442.724 	371.849 	47.207 	84.862 	78.420 	204.546 	686.310 	2309.507 	474.884 	2159.955 	1235.206 	697.544 
2150	40.630 	445.796 	373.421 	46.960 	85.083 	78.427 	204.338 	674.929 	2271.688 	467.668 	2109.485 	1228.543 	688.412 
2160	40.935 	449.201 	376.630 	47.119 	85.733 	79.027 	205.736 	676.211 	2256.320 	466.357 	2103.776 	1239.440 	690.668 
2170	41.241 	452.607 	379.839 	47.278 	86.383 	79.626 	207.135 	677.492 	2240.953 	465.046 	2098.067 	1250.337 	692.925 
2180	41.546 	456.012 	383.047 	47.436 	87.033 	80.226 	208.534 	678.774 	2225.585 	463.734 	2092.358 	1261.234 	695.182 
