	Canada	USA	W Europe	Oceania	Japan	E Europe	CIS	Latin America	Africa	Middle East	S Asia	E Asia	SE Asia
1900 	0.000 	0.003 	0.003 	0.000 	0.000 	0.000 	0.001 	0.003 	0.001 	0.000 	0.004 	0.002 	0.001 
1910 	0.001 	0.011 	0.009 	0.001 	0.000 	0.001 	0.002 	0.009 	0.004 	0.000 	0.011 	0.006 	0.004 
1920 	0.001 	0.023 	0.019 	0.002 	0.001 	0.002 	0.003 	0.019 	0.007 	0.001 	0.020 	0.011 	0.008 
1930 	0.002 	0.038 	0.030 	0.003 	0.001 	0.004 	0.005 	0.031 	0.011 	0.001 	0.028 	0.016 	0.012 
1940 	0.003 	0.055 	0.042 	0.004 	0.002 	0.005 	0.008 	0.044 	0.016 	0.001 	0.035 	0.021 	0.018 
1950 	0.003 	0.071 	0.054 	0.005 	0.003 	0.008 	0.012 	0.058 	0.021 	0.002 	0.041 	0.026 	0.024 
1960 	0.005 	0.089 	0.067 	0.006 	0.004 	0.011 	0.018 	0.074 	0.028 	0.003 	0.047 	0.032 	0.030 
1970 	0.006 	0.111 	0.081 	0.008 	0.006 	0.016 	0.028 	0.092 	0.037 	0.004 	0.053 	0.041 	0.038 
1980 	0.008 	0.137 	0.099 	0.010 	0.009 	0.022 	0.045 	0.115 	0.047 	0.007 	0.061 	0.053 	0.047 
1990 	0.011 	0.167 	0.119 	0.013 	0.013 	0.031 	0.068 	0.140 	0.060 	0.011 	0.070 	0.069 	0.057 
2000 	0.015 	0.198 	0.139 	0.016 	0.019 	0.039 	0.096 	0.167 	0.075 	0.018 	0.081 	0.090 	0.069 
2010 	0.018 	0.229 	0.158 	0.019 	0.026 	0.045 	0.118 	0.194 	0.095 	0.027 	0.092 	0.116 	0.081 
2020 	0.020 	0.251 	0.172 	0.022 	0.032 	0.049 	0.134 	0.219 	0.119 	0.038 	0.105 	0.148 	0.091 
2030 	0.021 	0.258 	0.182 	0.023 	0.038 	0.052 	0.142 	0.240 	0.147 	0.050 	0.124 	0.187 	0.103 
2040 	0.021 	0.251 	0.184 	0.023 	0.042 	0.052 	0.144 	0.253 	0.177 	0.063 	0.147 	0.229 	0.114 
2050 	0.021 	0.236 	0.180 	0.022 	0.045 	0.051 	0.140 	0.257 	0.204 	0.074 	0.171 	0.268 	0.123 
2060 	0.019 	0.219 	0.172 	0.021 	0.045 	0.048 	0.132 	0.253 	0.226 	0.083 	0.192 	0.297 	0.130 
2070 	0.018 	0.201 	0.162 	0.019 	0.044 	0.045 	0.122 	0.243 	0.242 	0.089 	0.211 	0.317 	0.133 
2080 	0.016 	0.184 	0.151 	0.018 	0.042 	0.042 	0.112 	0.230 	0.255 	0.093 	0.227 	0.329 	0.135 
2090 	0.015 	0.168 	0.140 	0.016 	0.040 	0.039 	0.103 	0.217 	0.265 	0.094 	0.242 	0.334 	0.134 
2100 	0.014 	0.155 	0.129 	0.015 	0.037 	0.035 	0.094 	0.203 	0.273 	0.095 	0.254 	0.332 	0.133 
2110 	0.013 	0.143 	0.120 	0.014 	0.034 	0.033 	0.086 	0.189 	0.278 	0.094 	0.264 	0.326 	0.130 
2120 	0.012 	0.133 	0.111 	0.013 	0.032 	0.030 	0.079 	0.176 	0.281 	0.092 	0.273 	0.316 	0.127 
2130 	0.011 	0.124 	0.104 	0.012 	0.029 	0.028 	0.074 	0.165 	0.285 	0.090 	0.281 	0.304 	0.124 
2140 	0.010 	0.116 	0.097 	0.011 	0.027 	0.026 	0.068 	0.155 	0.290 	0.088 	0.290 	0.292 	0.120 
2150 	0.010 	0.109 	0.091 	0.010 	0.026 	0.024 	0.064 	0.145 	0.295 	0.086 	0.300 	0.279 	0.117 
2160 	0.009 	0.103 	0.086 	0.009 	0.024 	0.023 	0.060 	0.137 	0.301 	0.084 	0.309 	0.267 	0.114 
2170 	0.009 	0.098 	0.081 	0.009 	0.023 	0.022 	0.057 	0.130 	0.307 	0.082 	0.319 	0.255 	0.112 
2180 	0.008 	0.094 	0.077 	0.008 	0.021 	0.021 	0.054 	0.124 	0.314 	0.080 	0.328 	0.244 	0.110 
2190 	0.008 	0.090 	0.074 	0.008 	0.020 	0.020 	0.051 	0.118 	0.322 	0.078 	0.338 	0.234 	0.108 
2200 	0.008 	0.086 	0.071 	0.008 	0.019 	0.019 	0.049 	0.113 	0.330 	0.077 	0.347 	0.225 	0.106 
2210 	0.007 	0.083 	0.068 	0.007 	0.019 	0.018 	0.047 	0.108 	0.338 	0.076 	0.356 	0.217 	0.105 
2220 	0.007 	0.079 	0.065 	0.007 	0.018 	0.017 	0.045 	0.104 	0.347 	0.075 	0.364 	0.210 	0.103 
2230 	0.007 	0.076 	0.062 	0.007 	0.017 	0.017 	0.043 	0.100 	0.355 	0.074 	0.372 	0.204 	0.102 
2240 	0.006 	0.073 	0.060 	0.006 	0.016 	0.016 	0.042 	0.096 	0.363 	0.073 	0.379 	0.198 	0.102 
2250 	0.006 	0.071 	0.058 	0.006 	0.016 	0.015 	0.040 	0.093 	0.372 	0.072 	0.386 	0.193 	0.101 
