	Canada	USA	W Europe	Oceania	Japan	E Europe	CIS	Latin America	Africa	Middle East	S Asia	E Asia	SE Asia
1900 	65.453 	1394.776 	1153.196 	91.626 	54.714 	126.669 	169.122 	1493.144 	465.339 	29.817 	845.810 	486.980 	498.080 
1910 	93.481 	2069.680 	1541.380 	128.697 	81.628 	180.180 	192.285 	1820.228 	550.487 	33.600 	897.269 	529.908 	599.044 
1920 	110.404 	2503.019 	1727.050 	147.060 	97.238 	218.989 	247.674 	2143.866 	662.958 	38.354 	995.439 	573.553 	731.025 
1930 	135.387 	2646.832 	2100.496 	152.346 	118.487 	306.251 	389.035 	2396.857 	786.958 	54.632 	956.556 	702.790 	930.466 
1940 	144.874 	2544.450 	2234.159 	171.452 	180.105 	337.012 	760.994 	2600.233 	908.487 	88.174 	1127.970 	712.244 	1006.757 
1950 	231.401 	3764.099 	2219.610 	235.270 	158.355 	633.595 	1118.395 	2795.512 	1420.201 	143.804 	1122.351 	815.716 	1123.667 
1960 	292.558 	4449.692 	2966.322 	322.838 	308.035 	1127.153 	2159.991 	3718.696 	1581.743 	273.285 	1396.032 	1812.178 	1460.178 
1970 	479.507 	5841.067 	4418.066 	501.935 	878.640 	1174.182 	2911.381 	4581.337 	2119.957 	536.557 	1900.740 	2188.366 	1862.835 
1980 	603.188 	6420.747 	4860.698 	586.463 	1077.595 	1608.425 	4501.425 	5431.116 	2603.483 	919.024 	2175.008 	3353.373 	2131.487 
1990 	607.027 	6550.023 	4555.094 	684.255 	1231.215 	1428.007 	5749.107 	5049.067 	2937.421 	1325.460 	2411.356 	4645.167 	2491.418 
2000 	755.472 	7676.966 	4730.386 	787.091 	1347.730 	1165.917 	3707.349 	6820.398 	5569.712 	1893.580 	3344.446 	6129.445 	2372.965 
2010 	572.895 	7729.298 	4236.493 	830.711 	1192.159 	1294.200 	4067.289 	7188.357 	6015.350 	2462.633 	5101.664 	8629.794 	3197.960 
2020 	273.676 	1378.295 	2925.313 	388.843 	1155.444 	913.124 	2626.619 	5631.060 	6831.375 	2793.065 	6072.056 	9943.539 	3421.627 
2030 	98.629 	173.574 	1582.139 	143.644 	862.078 	483.984 	1204.363 	3668.250 	6580.909 	2628.423 	6149.687 	9519.432 	3094.157 
2040 	30.833 	21.047 	714.236 	47.491 	509.567 	199.862 	410.317 	2101.990 	5711.777 	2173.933 	5620.322 	7979.342 	2503.783 
2050 	8.539 	2.636 	265.562 	14.259 	224.950 	60.267 	99.073 	1042.106 	4443.358 	1566.512 	4602.262 	5738.621 	1791.589 
2060 	4.415 	1.035 	151.559 	7.736 	128.337 	28.097 	41.932 	722.072 	4305.349 	1404.387 	4620.993 	5029.854 	1610.365 
2070 	2.385 	0.464 	87.559 	4.412 	69.562 	13.181 	18.205 	498.898 	4118.400 	1226.613 	4565.152 	4226.980 	1420.718 
2080 	1.345 	0.232 	51.442 	2.642 	36.543 	6.279 	8.182 	345.706 	3886.493 	1047.193 	4425.558 	3407.316 	1229.998 
2090 	0.785 	0.125 	30.637 	1.646 	18.809 	3.029 	3.788 	240.168 	3607.096 	874.232 	4191.341 	2631.275 	1042.396 
2100 	0.467 	0.071 	18.331 	1.052 	9.496 	1.464 	1.782 	166.383 	3275.278 	711.974 	3854.243 	1940.540 	860.641 
2110 	0.355 	0.053 	13.872 	0.851 	6.211 	0.935 	1.125 	141.221 	3432.949 	680.482 	4055.234 	1678.619 	829.816 
2120 	0.282 	0.042 	10.919 	0.711 	4.288 	0.634 	0.758 	121.946 	3574.472 	648.051 	4224.533 	1455.658 	799.429 
2130 	0.232 	0.034 	8.896 	0.611 	3.108 	0.453 	0.538 	107.057 	3701.262 	616.524 	4361.207 	1270.973 	770.829 
2140 	0.196 	0.028 	7.474 	0.539 	2.354 	0.338 	0.401 	95.508 	3815.637 	587.222 	4465.832 	1121.086 	745.108 
2150 	0.171 	0.025 	6.456 	0.486 	1.855 	0.262 	0.310 	86.561 	3920.224 	561.021 	4539.793 	1001.473 	723.087 
2160 	0.153 	0.022 	5.722 	0.448 	1.515 	0.211 	0.249 	79.675 	4017.546 	538.449 	4584.819 	907.576 	705.339 
2170 	0.140 	0.020 	5.183 	0.421 	1.275 	0.175 	0.206 	74.600 	4104.423 	519.696 	4606.991 	836.044 	692.550 
2180 	0.130 	0.018 	4.791 	0.403 	1.104 	0.149 	0.175 	70.984 	4182.053 	504.774 	4609.497 	782.860 	684.787 
2190 	0.123 	0.017 	4.511 	0.392 	0.979 	0.130 	0.153 	68.576 	4251.069 	493.579 	4595.277 	744.874 	682.043 
2200 	0.119 	0.016 	4.321 	0.387 	0.889 	0.116 	0.136 	67.201 	4311.626 	485.948 	4567.004 	719.679 	684.282 
