CC	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
o_LA	53.2016429152568	54.1704144559881	54.540884323643	54.8273398991186	55.1142966878812	55.0722951490895	55.0300653792475	53.8066246890356	52.5803467736098	51.3512316329703	50.1192792671169	49.3363260212878	48.5515293436306	47.7648892341453	46.9764056928319	46.1860787196905	45.3939083147209	44.5998944779233	43.8040372092975	43.0063365088437	42.2067923765618
VEN	117.147615232	127.380929670707	137.429959686999	146.689302423238	155.797626014418	163.283243160358	170.639820148941	174.940587368181	179.15668710335	183.288119354446	187.334884121471	185.444803815211	183.561555159447	181.685138154181	179.815552799412	177.952799095141	176.096877041367	174.24778663809	172.405527885311	170.570100783029	168.741505331244
VCT	0.335185184	0.351113050071238	0.36740693044801	0.379458023228751	0.391692123162258	0.397720151509425	0.403687177472337	0.396327024498734	0.388417850066831	0.379959654176628	0.370952436828125	0.373030100145735	0.374957385492853	0.376734292869482	0.37836082227562	0.379836973711267	0.381162747176424	0.382338142671091	0.383363160195267	0.384237799748953	0.384962061332148
URY	20.670509056	20.367752502682	20.3040112164452	20.3039899865539	20.291141336675	20.1913685016649	20.0815245517885	19.7709109496781	19.4575940483142	19.1415738476968	18.8228503478257	18.3466424803724	17.8742122157873	17.4055595540705	16.9406844952219	16.4795870392416	16.0222671861295	15.5687249358857	15.1189602885101	14.6729732440028	14.2307638023637
TTO	8.154315776	8.155603745508	8.15797987436272	8.14626042407737	8.12968512699202	7.99941835917237	7.86839623740604	7.61396841082189	7.36358712323774	7.11725237465359	6.87496416506942	6.63825691261134	6.40553102148439	6.17678649168859	5.95202332322394	5.73124151609043	5.51444107028806	5.30162198581684	5.09278426267677	4.88792790086784	4.68705290039006
SUR	0.89159776	0.970977494675094	1.04690639636304	1.11256877601916	1.17977962528221	1.23061120546691	1.28154601695874	1.2931462137524	1.30190754960005	1.30783002450167	1.31091363845728	1.34573950090731	1.37997134477699	1.4136091700663	1.44665297677525	1.47910276490383	1.51095853445206	1.54222028541992	1.57288801780741	1.60296173161455	1.63244142684132
SLV	13.134147584	14.8002487797547	16.5627702374942	18.4038713340564	20.3379794265304	22.2643213697554	24.2760109092288	25.9428384028248	27.6646245758231	29.4413694282237	31.2730729600267	32.242779643634	33.2106914504899	34.1768083805943	35.1411304339471	36.1036576105485	37.0643899103984	38.0233273334968	38.9804698798437	39.9358175494391	40.889370342283
PRY	7.721718784	9.30990790218366	11.0477698342005	12.8979131235183	14.8910869578223	16.8975214111897	19.0305905502392	20.9842968977685	23.0303132661765	25.1686396554633	27.3992760656287	29.0577548813906	30.7476660387004	32.4690095375581	34.2217853779638	36.0059935599175	37.8216340834191	39.6687069484687	41.5472121550663	43.4571497032118	45.3985195929052
PRI	61.04489984	60.512904852119	59.7884666203552	58.7796217129415	57.6550151649356	55.9931582345603	54.2539300035852	51.78016936741	49.294891629237	46.7980967890664	44.2897848468981	40.950401627314	37.7022147995892	34.5452243637235	31.4794303197171	28.5048326675698	25.6214314072818	22.829226538853	20.1282180622833	17.5184059775729	14.9997902847216
PER	53.08567552	59.2014601397296	65.666504938021	72.944260869273	80.5940922948418	87.8139861263539	95.3424801484349	101.396417810436	107.628178168226	114.037761221805	120.625166971173	124.210577477666	127.770433031953	131.304733634036	134.813479283913	138.296669981585	141.754305727052	145.186386520314	148.592912361371	151.973883250223	155.329299186869
PAN	11.62050048	12.7588818072475	13.8822880722336	14.9390501492357	16.0002261671308	16.9523360140224	17.9083740978863	18.5514354747396	19.197074490821	19.8452911461305	20.496085440668	20.5382847094955	20.5804789124003	20.6226680493824	20.6648521204417	20.7070311255784	20.7492050647923	20.7913739380834	20.8335377454518	20.8756964868976	20.9178501624205
NIC	3.936327936	5.12193364632394	6.44153547669428	7.96444694067847	9.63160125817063	11.3201884712819	13.1274755325925	14.7334854626567	16.4031024843719	18.1363265977383	19.9331578027557	21.5289708193483	23.1544992322803	24.8097430415518	26.4947022471628	28.2093768491132	29.9537668474032	31.7278722420325	33.5316930330014	35.3652292203097	37.2284808039575
MEX	581.426413568	598.873248516411	624.004606908772	643.118145445437	661.348737279436	671.406816517518	680.814167648023	675.222158080859	669.451555212693	663.502359043525	657.374569573354	640.407438571316	623.637212179856	607.063890398975	590.687473228672	574.507960668949	558.525352719804	542.739649381237	527.150850653249	511.75895653584	496.56396702901
LCA	0.6832	0.716058811849908	0.757492558310328	0.791952532688664	0.826110090374824	0.851212404586427	0.876083458974601	0.888785957408102	0.901355036712701	0.913790696888399	0.926092937935195	0.914895095199951	0.903758543411774	0.892683282570667	0.881669312676627	0.870716633729656	0.859825245729754	0.848995148676919	0.838226342571153	0.827518827412456	0.816872603200827
JAM	8.027264512	8.45092687595682	8.82314618198924	9.15080229580446	9.48431088854914	9.71638271014575	9.9510780567797	9.95958970929511	9.96403994324309	9.96442875862365	9.96075615543678	10.042071304672	10.1217831070173	10.1998915624728	10.2763966710384	10.3512984327143	10.4245968475002	10.4962919153963	10.5663836364026	10.6348720105191	10.7017570377457
