RC	f_obj	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
LA	0.0343033403220672	1.039050473631	1.03119219603778	1.02894336444517	1.02852474836414	1.02814822435034	0.999994899966485	0.97528496303552	0.987583586058406	0.999710648538472	1.01166971540563	1.02346425349962	1.02299138570761	1.02251438923532	1.02203320977346	1.02154779205601	1.0210580798391	1.02056401587923	1.020065541911	1.0195625986242	1.01905512564026	1.01854306148814
AFRICA	0.0458188679349024	1.05167283054688	1.05945991287731	1.07092069052827	1.08379818583965	1.09448839246719	1.02275346900186	0.969576334395946	1.01587323734048	1.05956591019763	1.10086807631615	1.13997069536877	1.1387857422479	1.13765557363255	1.13657647604867	1.13554506422206	1.13455824560395	1.13361318940048	1.1327072994527	1.13183819041999	1.13100366680675	1.13020170444405
ROW	0.0981401460914215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EEFSU	0.0209958058778178	1.00963838557042	1.01335028447075	1.01684783580127	1.02245348975303	1.02818467804044	1.05218775855112	1.07823175498827	1.07118470038737	1.063938577955	1.05648483183288	1.048814408733	1.0522298008291	1.05577258319447	1.05945001854447	1.06326993236745	1.06724076851169	1.07137165149384	1.07567245649632	1.08015388818417	1.08482756966537	1.0897061431511
ME	0.0727574869272985	1.18860174567859	1.1830211249368	1.17998485135391	1.17123220397462	1.1640070799715	1.07262601792816	1.00394268081563	1.02858855919447	1.05195875410395	1.07414981195653	1.09524877644545	1.09094270403095	1.08679274678401	1.08279056601066	1.07892840649607	1.07519904634753	1.071595751924	1.06811223726027	1.06474262747141	1.06148142568928	1.05832348313975
CPA	0.017578291513113	1.01306083450655	1.0100443865429	1.00691420445993	1.00826423577567	1.00954411725357	1.01468184144254	1.01971002348094	1.0200561697533	1.02040626499672	1.020760377176	1.02111857582453	1.02114519717773	1.02117257591756	1.0212007448323	1.02122973863054	1.02125959408385	1.02129035018239	1.02132204830472	1.02135473240362	1.02138844920937	1.02142324845268
USA	0.0130279529060347	0.986282065930566	0.986488042559211	0.986770603710753	0.984990723172885	0.983361227296085	0.95307984535216	0.926394321016388	0.939128954916084	0.951593413396063	0.96379620418784	0.975745481526025	0.975959162751649	0.976170000551806	0.976378051306955	0.976583369916768	0.976786009848424	0.976986023183031	0.977183460660253	0.977378371721219	0.977570804549802	0.97776080611233
W-OECD	0.0174758357250471	1.00086621830336	1.01320503224205	1.02244928518513	1.02927788113237	1.03596104043857	1.0410724740165	1.04612097041447	1.05234455769887	1.05860457453422	1.06490134171805	1.07123518382558	1.07074214143041	1.07023908132004	1.0697256950486	1.06920166137617	1.06866664559845	1.06812029883391	1.06756225726503	1.06699214133047	1.06640955486405	1.06581408417676
SEA	0.021564914057348	1.0569254189129	1.05752951023569	1.05878487350339	1.06036299611033	1.0617599484453	1.03013042842451	1.00291683777968	1.02138051269798	1.03947399162923	1.0572082976903	1.07459402066029	1.07486370377609	1.07513407976138	1.07540515128977	1.07567692104865	1.07594939173926	1.07622256607681	1.07649644679054	1.07677103662382	1.07704633833427	1.07732235469378
P-OECD	0.046675752879894	1.00037340552507	1.00240887730522	1.00263395249735	1.00172888015717	1.0008202207378	1.01185485036866	1.02344983555467	1.01073243194821	0.997781109234728	0.984589353578484	0.971150407027483	0.971556698605602	0.971975624425954	0.972407783117052	0.972853811732799	0.973314388885875	0.973790238192833	0.974282132067666	0.974790895905701	0.975317412705458	0.975862628182942
