CC	RC	GDP(2000)	1990	1995	2000	2005	2010	2020	2030	2050	2100
AGO	AFRICA	9.12918016	10534	12317	13930	16095	18493	24169	30652	44566	65115.68834481
ALB	EEFSU	3.694329856	3289	3150	3080	3154	3245	3430	3519	3451	3057.94332425068
ARE	ME	70.591422464	1867	2432	3247	4104	4732	5774	6753	8521	7567.77529182879
ARG	LA	284.20374528	32581	34835	36896	38747	40738	44486	47534	51382	49627.5876148092
ARM	EEFSU	1.911584896	3545	3227	3082	3018	2987	2955	2838	2458	1709.22622107969
AUS	P-OECD	387.538255872	16873	18072	19139	20310	21362	23418	25287	28041	26969.1667840376
AUT	W-OECD	193.838219264	7729	8047	8111	8292	8442	8575	8643	8500	7143.64154013015
AZE	EEFSU	5.27261696	7212	7791	8143	8352	8671	9307	9599	9404	8872.86565527326
BDI	AFRICA	0.678535232	5692	6242	6668	7859	9553	13062	17232	28315	40181.428130942
BEL	W-OECD	228.417175552	9933	10084	10193	10398	10522	10684	10780	10643	9937.00704432052
BEN	AFRICA	2.254838784	5179	6209	7227	8490	9872	12874	16076	22506	27034.0306370978
BFA	AFRICA	2.600700672	8871	10271	11882	13933	16097	21034	26505	37503	57687.8681471692
BGD	SEA	45.52443904	113049	126297	139434	153281	166638	193333	217932	254084	259420.184148406
BGR	EEFSU	12.60700672	8819	8357	8003	7745	7471	6873	6224	4949	3737.88411037108
BHR	ME	7.970691072	493	578	650	725	792	917	1025	1173	1092.64488188976
BHS	LA	4.88	255	280	303	323	343	381	412	449	414.898734177215
BIH	EEFSU	4.527084032	4308	3421	3787	3915	3942	3833	3653	3160	2426.74523007856
BLR	EEFSU	12.736856064	10260	10266	10052	9795	9529	8974	8346	6960	5303.78034222045
BLZ	LA	0.832	186	214	245	276	306	363	413	487	475.432304038005
BOL	LA	8.397858304	6669	7482	8317	9182	10031	11638	13034	14908	15939.8592837186
BRA	LA	601.732022272	149522	161615	174161	186831	198982	219992	236480	254085	231536.2368105
BTN	SEA	0.487539264	547	507	559	637	684	780	851	935	1134.62462178517
BWA	AFRICA	5.250845696	1367	1566	1729	1836	1953	2165	2358	2703	2681.45434782609
CAF	AFRICA	0.952835776	3008	3450	3864	4191	4592	5434	6214	7609	8715.04692975773
CAN	W-OECD	714.458267648	27701	29302	30689	32271	33752	36588	39105	42754	39635.3699884866
CHE	W-OECD	246.04925952	6834	7133	7263	7424	7567	7838	8104	8434	7007.04268502582
CHL	LA	75.775148032	13179	14395	15412	16295	17134	18639	19778	20655	20232.5221279523
CIV	AFRICA	10.4252928	12780	14986	17049	18585	20375	24315	28088	34704	37914.8626142463
CMR	AFRICA	8.879292416	12239	14058	15861	17795	19662	23352	26892	33144	35929.9134199134
COD	AFRICA	4.304347648	37942	45339	50689	58741	69010	93375	122734	186837	250531.65583208
COG	AFRICA	3.21989376	2422	2793	3203	3610	4011	4907	5824	7561	10344.4255379122
COL	LA	83.778625536	34875	38259	41683	44946	47890	53238	57577	61860	61885.6638662933
COM	AFRICA	0.203846592	527	607	699	798	902	1112	1325	1715	2072.92125550661
CPV	AFRICA	0.531386016	355	401	451	507	567	690	808	1002	1027.91379310345
CRI	LA	15.946326016	3076	3475	3929	4327	4665	5276	5795	6426	6108.25245700246
CYP	W-OECD	9.147165696	681	731	786	836	882	975	1056	1183	1043.74551569507
CZE	EEFSU	55.707480064	10303	10310	10220	10192	10175	10043	9728	8825	6861.48135157255
DEU	W-OECD	1900.221169664	79433	81661	82309	82652	82365	81161	79348	74088	68400.2283403879
DJI	AFRICA	0.552928512	561	624	730	804	877	1027	1197	1480	1809.94982078853
DNK	W-OECD	158.225924096	5140	5228	5335	5417	5473	5544	5602	5528	5139.05860041722
DOM	LA	19.703281664	7295	8013	8744	9470	10191	11557	12709	13972	12939.0414280903
DZA	AFRICA	53.454692352	25283	28265	30506	32854	35423	40630	44726	49610	46490.7076663858
ECU	LA	15.94164224	10272	11396	12306	13061	13775	15376	16679	17988	17163.726126896
EGY	AFRICA	102.216351744	55137	60648	66529	72850	79537	92578	104070	121219	125416.714631064
ERI	AFRICA	0.6335792	3158	3213	3684	4527	5323	6937	8433	11465	14044.325837366
ESP	W-OECD	580.673470464	38851	39388	40229	43397	45108	46445	46682	46401	36192.6805763874
EST	EEFSU	5.473040384	1566	1438	1370	1344	1321	1278	1224	1128	896.219178082192
ETH	AFRICA	6.527844352	51148	60293	69388	78986	89566	112896	137052	183404	238351.081988689
FIN	W-OECD	119.905107968	4986	5108	5176	5246	5323	5434	5469	5360	4986.82857721109
FJI	SEA	1.652776448	724	768	802	828	854	888	918	910	834.871001031992
FRA	W-OECD	1327.96383232	56735	58203	59187	60991	62507	64825	66605	68270	63956.7560330064
FSM	SEA	0.2157	96	107	107	110	113	120	129	134	147.569620253165
GAB	AFRICA	4.931781632	918	1056	1182	1291	1390	1599	1791	2081	2296.79501607717
GBR	W-OECD	1438.282678272	57237	57961	58868	60245	61517	64033	66162	68717	66856.9488105674
GEO	EEFSU	3.057455616	5460	5033	4720	4473	4301	4063	3807	3134	2422.71198156682
GHA	AFRICA	4.977585664	15579	17887	20148	22535	24890	29672	34234	41881	46488.6724739557
GIN	AFRICA	3.112362496	6033	7323	8203	9003	10028	12966	16170	22711	27570.604512276
GMB	AFRICA	0.420894592	962	1159	1384	1617	1845	2301	2770	3649	4172.79793459552
GNB	AFRICA	0.215455488	1017	1191	1370	1597	1853	2513	3358	5324	7862.46153846154
GNQ	AFRICA	1.34104896	340	382	431	484	545	693	854	1183	1468.44774851317
GRC	W-OECD	112.125485056	10161	10656	10975	11100	11215	11274	11179	10808	8280.55349500713
GTM	LA	19.290566656	8908	10004	11229	12710	14377	18091	21691	27473	30824.4414125201
GUY	LA	0.712328832	731	739	734	739	731	700	660	477	338.698224852071
HND	LA	5.962758144	4891	5570	6196	6834	7533	9005	10298	12079	12684.3845605701
HRV	EEFSU	18.42722816	4517	4669	4506	4551	4532	4369	4168	3692	3341.01812099247
HTI	LA	3.696529664	7110	7836	8573	9296	10060	11584	12994	15275	15636.3202993
HUN	EEFSU	46.680600576	10365	10329	10214	10086	9940	9621	9259	8459	6923.02661747266
IDN	SEA	165.020483584	182847	197411	211693	226063	239600	261868	279666	296885	275674.381273464
IND	SEA	457.370894336	860195	954282	1046235	1134403	1220182	1379198	1505748	1658270	1579139.76093058
IRL	W-OECD	94.955773952	3515	3609	3804	4143	4526	5055	5475	6179	5591.52502001601
IRN	ME	101.065834496	56674	62199	66125	69421	74276	84244	91155	100174	93277.630013746
ISL	W-OECD	8.407626752	255	267	281	296	308	329	344	355	322.727272727273
ITA	W-OECD	1074.76320256	56719	57301	57692	58646	59032	58601	57519	54610	41139.7361559889
JAM	LA	8.027264512	2369	2485	2589	2682	2756	2872	2924	2763	2604.10302534751
JOR	ME	8.460424192	3254	4304	4799	5544	6453	7469	8554	10121	10629.3425251133
KAZ	EEFSU	18.291990528	16530	15919	14954	15211	15759	16723	17142	17312	14500.5540492074
KEN	AFRICA	12.705273856	23447	27380	31252	35599	40645	51691	62762	84757	88283.4030101855
KGZ	EEFSU	1.369691904	4395	4591	4946	5204	5497	6024	6343	6566	6133.10684174154
KHM	CPA	3.655794176	9698	11395	12780	13956	15224	18102	20761	25114	29226.7604423851
KOR	SEA	511.658524672	42869	45008	46780	47870	48673	49221	48411	42327	33967.0117195915
KWT	ME	36.876283904	2143	1725	2228	2700	3051	3690	4273	5240	4849.60617133577
LAO	CPA	1.735146624	4076	4692	5224	5664	6173	7223	8142	9290	10372.534940601
LBN	ME	16.592371712	2974	3491	3772	4011	4227	4616	4925	5221	4756.53578649414
LBR	AFRICA	0.560899968	2137	2143	3071	3442	4311	5849	7797	12460	17156.7640769779
LCA	LA	0.6832	138	146	153	161	171	188	201	216	198.773006134969
LKA	SEA	16.331874304	17114	18080	18714	19121	19576	20229	20249	18715	16524.5706593614
LSO	AFRICA	0.859322752	1601	1722	1886	1981	2044	2163	2252	2356	2819.67175018155
LTU	EEFSU	11.381475328	3698	3630	3503	3425	3336	3188	3023	2654	2490.09501187648
LUX	W-OECD	19.603832832	382	408	437	457	483	538	601	722	716.958100558659
LVA	EEFSU	7.725804032	2663	2490	2379	2302	2243	2134	2012	1768	1369.5026296018
MAR	AFRICA	33.3340672	24808	26951	28827	30495	32381	36200	39259	42583	42077.2228242393
MDA	EEFSU	1.288420224	4389	4379	4145	3877	3707	3580	3388	2883	2219.42681564246
MDG	AFRICA	3.877620992	12033	13947	16187	18643	21299	27005	32931	44453	59160.5552579279
MDV	SEA	0.624333056	216	248	273	295	323	383	434	510	629.56043956044
MEX	LA	581.426413568	84002	91823	99735	104266	110293	120559	128125	132278	120830.974227686
MKD	EEFSU	3.586884096	1909	1963	2009	2034	2041	2025	1966	1746	1548.40074211503
MLI	AFRICA	2.422469632	7669	8736	10004	11611	13506	18034	23250	34231	52456.0791338754
MLT	W-OECD	3.806709248	360	378	389	403	411	426	434	428	400.318407960199
MNG	CPA	0.946532672	2216	2389	2470	2581	2707	2997	3204	3388	3077.30612244898
MOZ	AFRICA	3.777704704	13544	15943	18194	20533	22635	26809	31117	39117	43065.5969304556
MRT	AFRICA	1.080830464	1945	2225	2566	2963	3363	4153	4944	6364	8279.90609577164
MUS	AFRICA	4.423849984	1057	1125	1186	1241	1291	1374	1430	1446	1322.28336755647
MWI	AFRICA	1.74350656	9446	10091	11623	13226	15037	19150	23550	31944	40364.2458668928
MYS	SEA	90.319740928	18103	20594	23274	25653	27920	32020	35270	39631	39702.1436120452
NAM	AFRICA	3.413544704	1417	1657	1879	2020	2157	2428	2678	3041	3321.72532027129
NCL	SEA	2.682347008	171	193	215	234	253	287	317	360	343.979057591623
NER	AFRICA	1.798365184	7822	9287	11124	13264	15791	22222	30842	53163	98833.2416426268
NGA	AFRICA	42.078142464	94454	109010	124773	141356	158313	193099	226855	288696	337818.705901469
NIC	LA	3.936327936	4141	4664	5108	5463	5832	6696	7407	8169	9058.96098638204
NLD	W-OECD	370.638487552	14952	15459	15924	16328	16502	16760	17141	17235	16209.2765719004
NOR	W-OECD	166.906200064	4241	4359	4489	4639	4785	5079	5366	5732	5267.11664964249
NPL	SEA	5.494252032	19114	21672	24419	27094	29898	35868	41742	51891	59529.1182641212
