Region	1990	1995	2000	2004	2005	2010	2020	2030	2050	2100
AFRICA	0.393	0.460	0.527	0.649	0.679	0.856	1.303	1.911	6.690	25.908
CPA	0.474	0.817	1.400	1.885	2.006	2.869	5.849	11.904	22.014	49.648
EEFSU	1.081	1.020	0.961	1.108	1.145	1.364	1.933	2.744	6.461	14.311
LA	1.085	1.288	1.518	1.796	1.866	2.280	3.364	4.927	10.820	25.418
ME	0.446	0.532	0.624	0.734	0.762	0.920	1.307	1.804	4.834	13.106
P-OECD	3.280	3.645	4.043	4.215	4.259	4.480	4.951	5.487	5.853	3.753
SEA	1.033	1.467	2.063	2.612	2.749	3.640	6.301	10.814	22.490	51.995
USA	5.498	6.441	7.516	8.073	8.212	8.951	10.590	12.506	15.681	25.567
W-OECD	7.578	8.492	9.500	10.092	10.241	11.026	12.769	14.814	16.373	27.379
