Region	1990 	1995 	2000 	2004 	2010 	2020 	2030 	2050 	2100 
AFRICA	625 	726 	826 	933 	1094 	1363 	1632 	2113 	2778 
CPA	1242 	1313 	1384 	1421 	1476 	1568 	1659 	1699 	1736 
EEFSU	413 	414 	415 	415 	416 	416 	416 	406 	379 
LA	434 	473 	511 	538 	579 	647 	715 	805 	885 
ME	133 	154 	174 	192 	217 	260 	303 	370 	476 
P-OECD	144 	146 	149 	149 	149 	148 	148 	140 	67 
SEA	1556 	1710 	1864 	1969 	2127 	2390 	2653 	2997 	3233 
USA	254 	268 	283 	291 	303 	323 	343 	352 	368 
W-OECD	461 	473 	485 	487 	491 	497 	504 	484 	493 
