Region	1990 	1995 	2000 	2005 	2010 	2020 	2030 	2050 	2100 
SEA	1471455	1619788	1771669	1917555	2060411	2327625	2705327	2816030	2779948
AFRICA	610084	694365	780623	870267	963668	1160841	1565952	1752624	2177413
CPA	1243548	1317434	1381535	1436922	1488096	1569658	1603854	1567672	1350837
LA	425810	464784	503451	541161	577058	641568	730972	751654	719124
W-OECD	461901	477214	489484	499658	507544	518589	525054	518943	467273
USA	259240	273628	288819	303953	318911	348343	395282	412418	440228
ME	114911	130838	146075	162178	179554	217515	289397	320991	381367
ROW	130888	146421	158892	174348	190416	220651	279692	304968	353332
EEFSU	401965	402692	400067	395647	391623	383045	353028	333631	273648
P-OECD	143785	147148	149971	151938	153002	152398	145033	139794	118714
